StatNam;StatNr;praef;Fangradius;DEN;WTC;n1;n2;Erfassungsquote;Anfang;Ende;Dauer;Leq
Hanau/Steinheim 1;72;2500;500;D;H;2371;2519;94%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;4017600;47.1230433629833s
Hanau/Steinheim 1;72;2500;500;D;L;40;76;53%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;4017600;19.8144521388362s
Hanau/Steinheim 1;72;2500;500;D;M;5323;6656;80%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;4017600;45.1511535936473s
Hanau/Steinheim 1;72;2500;500;D;NA;92;111;83%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;4017600;30.3437754183223s
Hanau/Steinheim 1;72;2500;500;E;H;955;1050;91%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;1339200;45.9408790910862s
Hanau/Steinheim 1;72;2500;500;E;L;18;37;49%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;1339200;19.3099581853807s
Hanau/Steinheim 1;72;2500;500;E;M;2561;3043;84%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;1339200;46.1019118910517s
Hanau/Steinheim 1;72;2500;500;E;NA;44;53;83%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;1339200;29.482252742027s
Hanau/Steinheim 1;72;2500;500;N;H;70;308;23%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;2678400;31.8631685989703s
Hanau/Steinheim 1;72;2500;500;N;L;5;50;10%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;2678400;13.0154271404926s
Hanau/Steinheim 1;72;2500;500;N;M;2116;3533;60%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;2678400;42.3099764180901s
Hanau/Steinheim 1;72;2500;500;N;NA;5;27;19%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;2678400;16.1073681687262s
Hanau/Steinheim 1;72;2500;1000;D;H;2711;2957;92%;2023-05-01T09:01:10Z;2023-07-31T22:49:55Z;4017600;47.519756014295s
