StatNam;StatNr;praef;Fangradius;DEN;Gewichtsklasse;n1;n2;Erfassungsquote;Anfang;Ende;Dauer;Leq
Hanau/Steinheim 1;72;2500;500;D;Alle Gewichtsklassen;9350;12275;76%;2023-05-01 09:01:10;2023-07-31 22:49:55;3974400;49.8618268887005s
Hanau/Steinheim 1;72;2500;500;D;heavy;2793;3193;87%;2023-05-01 09:01:10;2023-07-31 22:49:55;3974400;47.5447197761247s
Hanau/Steinheim 1;72;2500;500;D;nicht heavy;6557;9082;72%;2023-05-01 09:01:10;2023-07-31 22:49:55;3974400;46.0262802878624s
Hanau/Steinheim 1;72;2500;500;E;Alle Gewichtsklassen;3628;4445;82%;2023-05-01 09:01:10;2023-07-31 22:49:55;1324800;48.6648380230774s
Hanau/Steinheim 1;72;2500;500;E;heavy;456;509;90%;2023-05-01 09:01:10;2023-07-31 22:49:55;1324800;43.3972404201414s
Hanau/Steinheim 1;72;2500;500;E;nicht heavy;3172;3936;81%;2023-05-01 09:01:10;2023-07-31 22:49:55;1324800;47.1323457588331s
Hanau/Steinheim 1;72;2500;500;N;Alle Gewichtsklassen;622;743;84%;2023-05-01 09:01:10;2023-07-31 22:49:55;2649600;38.6365054588318s
Hanau/Steinheim 1;72;2500;500;N;heavy;147;175;84%;2023-05-01 09:01:10;2023-07-31 22:49:55;2649600;35.346704599396s
Hanau/Steinheim 1;72;2500;500;N;nicht heavy;475;568;84%;2023-05-01 09:01:10;2023-07-31 22:49:55;2649600;35.8888009477443s
Hanau/Steinheim 1;72;2500;1000;D;Alle Gewichtsklassen;9782;12993;75%;2023-05-01 09:01:10;2023-07-31 22:49:55;3974400;50.0110851924358s
Hanau/Steinheim 1;72;2500;1000;D;heavy;2943;3388;87%;2023-05-01 09:01:10;2023-07-31 22:49:55;3974400;47.705114256218s
Hanau/Steinheim 1;72;2500;1000;D;nicht heavy;6839;9605;71%;2023-05-01 09:01:10;2023-07-31 22:49:55;3974400;46.1596922485713s
Hanau/Steinheim 1;72;2500;1000;E;Alle Gewichtsklassen;3810;4688;81%;2023-05-01 09:01:10;2023-07-31 22:49:55;1324800;48.8116972201603s
Hanau/Steinheim 1;72;2500;1000;E;heavy;473;529;89%;2023-05-01 09:01:10;2023-07-31 22:49:55;1324800;43.4670993732794s
Hanau/Steinheim 1;72;2500;1000;E;nicht heavy;3337;4159;80%;2023-05-01 09:01:10;2023-07-31 22:49:55;1324800;47.3113806161391s
Hanau/Steinheim 1;72;2500;1000;N;Alle Gewichtsklassen;939;1280;73%;2023-05-01 09:01:10;2023-07-31 22:49:55;2649600;41.073000262026s
Hanau/Steinheim 1;72;2500;1000;N;heavy;367;531;69%;2023-05-01 09:01:10;2023-07-31 22:49:55;2649600;39.0939986963326s
Hanau/Steinheim 1;72;2500;1000;N;nicht heavy;572;749;76%;2023-05-01 09:01:10;2023-07-31 22:49:55;2649600;36.7076277427051s
Hanau/Steinheim 1;72;2500;1500;D;Alle Gewichtsklassen;9941;13311;75%;2023-05-01 09:01:10;2023-07-31 22:49:55;3974400;50.0480685243176s
Hanau/Steinheim 1;72;2500;1500;D;heavy;3014;3480;87%;2023-05-01 09:01:10;2023-07-31 22:49:55;3974400;47.7496370382778s
Hanau/Steinheim 1;72;2500;1500;D;nicht heavy;6927;9831;70%;2023-05-01 09:01:10;2023-07-31 22:49:55;3974400;46.1858911301266s
Hanau/Steinheim 1;72;2500;1500;E;Alle Gewichtsklassen;3894;4876;80%;2023-05-01 09:01:10;2023-07-31 22:49:55;1324800;48.8573268317188s
Hanau/Steinheim 1;72;2500;1500;E;heavy;478;536;89%;2023-05-01 09:01:10;2023-07-31 22:49:55;1324800;43.4933147653453s
Hanau/Steinheim 1;72;2500;1500;E;nicht heavy;3416;4340;79%;2023-05-01 09:01:10;2023-07-31 22:49:55;1324800;47.3649960953254s
Hanau/Steinheim 1;72;2500;1500;N;Alle Gewichtsklassen;957;1323;72%;2023-05-01 09:01:10;2023-07-31 22:49:55;2649600;41.1305251499163s
Hanau/Steinheim 1;72;2500;1500;N;heavy;371;538;69%;2023-05-01 09:01:10;2023-07-31 22:49:55;2649600;39.1439196881435s
Hanau/Steinheim 1;72;2500;1500;N;nicht heavy;586;785;75%;2023-05-01 09:01:10;2023-07-31 22:49:55;2649600;36.7782938571277s
Hanau/Steinheim 1;72;2500;2000;D;Alle Gewichtsklassen;10110;13823;73%;2023-05-01 09:01:10;2023-07-31 22:49:55;3974400;50.1312174580682s
Hanau/Steinheim 1;72;2500;2000;D;heavy;3065;3590;85%;2023-05-01 09:01:10;2023-07-31 22:49:55;3974400;47.7903733605483s
Hanau/Steinheim 1;72;2500;2000;D;nicht heavy;7045;10233;69%;2023-05-01 09:01:10;2023-07-31 22:49:55;3974400;46.3291218929569s
Hanau/Steinheim 1;72;2500;2000;E;Alle Gewichtsklassen;3974;5141;77%;2023-05-01 09:01:10;2023-07-31 22:49:55;1324800;48.9204354783415s
